id,value,room,order,order_common,family,family_common
house.basement.Coleoptera (beetles).Scarabaeidae (scarab beetles),7,basement,Coleoptera,beetles,Scarabaeidae,scarab beetles
house.basement.Coleoptera (beetles).Silvanidae (flat bark beetles),5,basement,Coleoptera,beetles,Silvanidae,flat bark beetles
house.basement.Coleoptera (beetles).Staphylinidae (rove beetles),6,basement,Coleoptera,beetles,Staphylinidae,rove beetles
house.basement.Coleoptera (beetles).Tenebrionidae (darkling beetles),11,basement,Coleoptera,beetles,Tenebrionidae,darkling beetles
house.basement.Coleoptera (beetles).Throscidae (false metallic wood boring beetles),2,basement,Coleoptera,beetles,Throscidae,false metallic wood boring beetles
house.basement.Coleoptera (beetles).Un ID family,5,basement,Coleoptera,beetles,Un ID family,
house.basement.Collembola (springtails),,basement,Collembola,springtails,,
house.basement.Collembola (springtails).Entomobryidae (slender springtails),13,basement,Collembola,springtails,Entomobryidae,slender springtails
house.basement.Collembola (springtails).Isotomidae (elongate springtails),2,basement,Collembola,springtails,Isotomidae,elongate springtails
house.basement.Collembola (springtails).Sminthuridae (globular springtails),1,basement,Collembola,springtails,Sminthuridae,globular springtails
house.basement.Collembola (springtails).Tomoceridae (elongate bodied springtails),1,basement,Collembola,springtails,Tomoceridae,elongate bodied springtails
house.basement.Collembola (springtails).Un ID family,2,basement,Collembola,springtails,Un ID family,
house.basement.Dermaptera (earwigs),,basement,Dermaptera,earwigs,,
house.basement.Dermaptera (earwigs).Anisolabididae (earwigs),6,basement,Dermaptera,earwigs,Anisolabididae,earwigs
house.basement.Dermaptera (earwigs).Forficulidae (earwigs),5,basement,Dermaptera,earwigs,Forficulidae,earwigs
house.basement.Diplopoda (millipedes),,basement,Diplopoda,millipedes,,
house.basement.Diplopoda (millipedes).Un ID family,1,basement,Diplopoda,millipedes,Un ID family,
house.basement.Diptera (flies),,basement,Diptera,flies,,
house.basement.Diptera (flies).Calliphoridae (blow flies),3,basement,Diptera,flies,Calliphoridae,blow flies
house.basement.Diptera (flies).Cecidomyiidae (gall midges),22,basement,Diptera,flies,Cecidomyiidae,gall midges
house.basement.Diptera (flies).Chironomidae (non biting midges),2,basement,Diptera,flies,Chironomidae,non biting midges
house.basement.Diptera (flies).Culicidae (mosquitoes),5,basement,Diptera,flies,Culicidae,mosquitoes
house.basement.Diptera (flies).Dolichopodidae (longlegged flies),2,basement,Diptera,flies,Dolichopodidae,longlegged flies
"house.basement.Diptera (flies).Drosophilidae (fruit flies, vinegar flies)",7,basement,Diptera,flies,Drosophilidae,"fruit flies, vinegar flies"
house.basement.Diptera (flies).Empididae (dance flies),1,basement,Diptera,flies,Empididae,dance flies
house.basement.Diptera (flies).Fanniidae (Calyptrate flies),1,basement,Diptera,flies,Fanniidae,Calyptrate flies
house.basement.Diptera (flies).Muscidae (house flies),5,basement,Diptera,flies,Muscidae,house flies
house.basement.Diptera (flies).Mycetophilidae (fungus gnats),9,basement,Diptera,flies,Mycetophilidae,fungus gnats
house.basement.Diptera (flies).Phoridae (scuttle flies),15,basement,Diptera,flies,Phoridae,scuttle flies
house.basement.Diptera (flies).Psychodidae (sand & moth flies),8,basement,Diptera,flies,Psychodidae,sand & moth flies
house.basement.Diptera (flies).Scatopsidae (minute black scavenger flies),1,basement,Diptera,flies,Scatopsidae,minute black scavenger flies
house.basement.Diptera (flies).Sciaridae (dark winged fungus gnats),25,basement,Diptera,flies,Sciaridae,dark winged fungus gnats
house.basement.Diptera (flies).Sphaeroceridae (lesser dung flies),8,basement,Diptera,flies,Sphaeroceridae,lesser dung flies
house.basement.Diptera (flies).Stratiomyidae (soldier flies),1,basement,Diptera,flies,Stratiomyidae,soldier flies
house.basement.Diptera (flies).Tipulidae (large crane flies),8,basement,Diptera,flies,Tipulidae,large crane flies
house.basement.Diptera (flies).Trichoceridae (winter crane flies),1,basement,Diptera,flies,Trichoceridae,winter crane flies
house.basement.Diptera (flies).Un ID family,5,basement,Diptera,flies,Un ID family,
house.basement.Hemiptera (true bugs),,basement,Hemiptera,true bugs,,
house.basement.Hemiptera (true bugs).Aphididae (aphids),4,basement,Hemiptera,true bugs,Aphididae,aphids
house.basement.Hemiptera (true bugs).Aradidae (flat bugs),1,basement,Hemiptera,true bugs,Aradidae,flat bugs
house.basement.Hemiptera (true bugs).Cicadellidae (leafhoppers),3,basement,Hemiptera,true bugs,Cicadellidae,leafhoppers
house.basement.Hemiptera (true bugs).Cydnidae (burrowing bugs),2,basement,Hemiptera,true bugs,Cydnidae,burrowing bugs
house.basement.Hemiptera (true bugs).Delphacidae (Delphacid planthoppers),1,basement,Hemiptera,true bugs,Delphacidae,Delphacid planthoppers
house.basement.Hemiptera (true bugs).Derbidae (derbid planthopppers),1,basement,Hemiptera,true bugs,Derbidae,derbid planthopppers
house.basement.Hemiptera (true bugs).Fulgoridae (fulgorid planthoppers),1,basement,Hemiptera,true bugs,Fulgoridae,fulgorid planthoppers
house.basement.Hemiptera (true bugs).Phylloxeridae (plant parasitic hemipterans),1,basement,Hemiptera,true bugs,Phylloxeridae,plant parasitic hemipterans
house.basement.Hemiptera (true bugs).Reduviidae (assassin bugs),2,basement,Hemiptera,true bugs,Reduviidae,assassin bugs
house.basement.Hemiptera (true bugs).Rhyparochromidae (dirt colored seed bugs),2,basement,Hemiptera,true bugs,Rhyparochromidae,dirt colored seed bugs
house.basement.Hemiptera (true bugs).Tingidae (lace bugs),1,basement,Hemiptera,true bugs,Tingidae,lace bugs
house.basement.Hemiptera (true bugs).Un ID family,1,basement,Hemiptera,true bugs,Un ID family,
"house.basement.Hymenoptera (bees, wasps, ants)",,basement,Hymenoptera,"bees, wasps, ants",,
"house.basement.Hymenoptera (bees, wasps, ants).Bethylidae (cuckoo wasps)",1,basement,Hymenoptera,"bees, wasps, ants",Bethylidae,cuckoo wasps
"house.basement.Hymenoptera (bees, wasps, ants).Ceraphronidae (parasitic wasps)",1,basement,Hymenoptera,"bees, wasps, ants",Ceraphronidae,parasitic wasps
"house.basement.Hymenoptera (bees, wasps, ants).Diapriidae (parasitic wasps)",3,basement,Hymenoptera,"bees, wasps, ants",Diapriidae,parasitic wasps
"house.basement.Hymenoptera (bees, wasps, ants).Eulophidae (chalcid wasps)",4,basement,Hymenoptera,"bees, wasps, ants",Eulophidae,chalcid wasps
"house.basement.Hymenoptera (bees, wasps, ants).Formicidae (ants)",72,basement,Hymenoptera,"bees, wasps, ants",Formicidae,ants
"house.basement.Hymenoptera (bees, wasps, ants).Halictidae (sweat bees)",1,basement,Hymenoptera,"bees, wasps, ants",Halictidae,sweat bees
"house.basement.Hymenoptera (bees, wasps, ants).Ichneumonidae (scorpion wasps)",3,basement,Hymenoptera,"bees, wasps, ants",Ichneumonidae,scorpion wasps
"house.basement.Hymenoptera (bees, wasps, ants).Pompilidae (spider wasps)",5,basement,Hymenoptera,"bees, wasps, ants",Pompilidae,spider wasps
"house.basement.Hymenoptera (bees, wasps, ants).Rhopalosomatidae (Rhopalosomatid wasps)",1,basement,Hymenoptera,"bees, wasps, ants",Rhopalosomatidae,Rhopalosomatid wasps
"house.basement.Hymenoptera (bees, wasps, ants).Sphecidae (thread-waisted wasps)",1,basement,Hymenoptera,"bees, wasps, ants",Sphecidae,thread-waisted wasps
"house.basement.Hymenoptera (bees, wasps, ants).Un ID family",2,basement,Hymenoptera,"bees, wasps, ants",Un ID family,
"house.basement.Hymenoptera (bees, wasps, ants).Vespidae (yellowjackets, etc)",1,basement,Hymenoptera,"bees, wasps, ants",Vespidae,"yellowjackets, etc"
"house.basement.Isopoda (woodlice, pillbugs, roly-poly's)",,basement,Isopoda,"woodlice, pillbugs, roly-poly's",,
"house.basement.Isopoda (woodlice, pillbugs, roly-poly's).Armadillidiidae (pillbugs)",34,basement,Isopoda,"woodlice, pillbugs, roly-poly's",Armadillidiidae,pillbugs
"house.basement.Isopoda (woodlice, pillbugs, roly-poly's).Oniscidae (woodlice)",2,basement,Isopoda,"woodlice, pillbugs, roly-poly's",Oniscidae,woodlice
"house.basement.Isopoda (woodlice, pillbugs, roly-poly's).Porcellionidae (woodlice)",8,basement,Isopoda,"woodlice, pillbugs, roly-poly's",Porcellionidae,woodlice
"house.basement.Isopoda (woodlice, pillbugs, roly-poly's).Un ID family",11,basement,Isopoda,"woodlice, pillbugs, roly-poly's",Un ID family,
house.basement.Isoptera (termites),,basement,Isoptera,termites,,
house.basement.Isoptera (termites).Rhinotermitidae (subterranean termites),2,basement,Isoptera,termites,Rhinotermitidae,subterranean termites
house.basement.Julida (millipedes),,basement,Julida,millipedes,,
house.basement.Julida (millipedes).Julidae (millipedes),8,basement,Julida,millipedes,Julidae,millipedes
house.basement.Julida (millipedes).Parajulidae (millipedes),2,basement,Julida,millipedes,Parajulidae,millipedes
house.basement.Julida (millipedes).Un ID family,2,basement,Julida,millipedes,Un ID family,
"house.basement.Lepidoptera (moths, butterflies)",,basement,Lepidoptera,"moths, butterflies",,
"house.basement.Lepidoptera (moths, butterflies).Geometridae (geometrid moths)",1,basement,Lepidoptera,"moths, butterflies",Geometridae,geometrid moths
"house.basement.Lepidoptera (moths, butterflies).Noctuidae (owlet moths)",2,basement,Lepidoptera,"moths, butterflies",Noctuidae,owlet moths
"house.basement.Lepidoptera (moths, butterflies).Pyralidae (pyralid moths)",2,basement,Lepidoptera,"moths, butterflies",Pyralidae,pyralid moths
"house.basement.Lepidoptera (moths, butterflies).Un ID family",6,basement,Lepidoptera,"moths, butterflies",Un ID family,
house.basement.Lithobiomorpha (stone centipedes),,basement,Lithobiomorpha,stone centipedes,,
house.basement.Lithobiomorpha (stone centipedes).Lithobiidae (stone centipedes),1,basement,Lithobiomorpha,stone centipedes,Lithobiidae,stone centipedes
house.basement.Microcoryphia (bristletails),,basement,Microcoryphia,bristletails,,
house.basement.Microcoryphia (bristletails).Machilidae (jumping bristletails),1,basement,Microcoryphia,bristletails,Machilidae,jumping bristletails
house.basement.Neuroptera (lacewings),,basement,Neuroptera,lacewings,,
house.basement.Neuroptera (lacewings).Berothidae (beaded lacewings),1,basement,Neuroptera,lacewings,Berothidae,beaded lacewings
house.basement.Neuroptera (lacewings).Chrysopidae (green lacewings),1,basement,Neuroptera,lacewings,Chrysopidae,green lacewings
house.basement.Opiliones (harvestmen),,basement,Opiliones,harvestmen,,
house.basement.Opiliones (harvestmen).Phalangiidae (harvestmen),1,basement,Opiliones,harvestmen,Phalangiidae,harvestmen
house.basement.Opiliones (harvestmen).Un ID family,1,basement,Opiliones,harvestmen,Un ID family,
"house.basement.Orthoptera (grasshoppers, etc)",,basement,Orthoptera,"grasshoppers, etc",,
"house.basement.Orthoptera (grasshoppers, etc).Gryllidae (crickets)",3,basement,Orthoptera,"grasshoppers, etc",Gryllidae,crickets
"house.basement.Orthoptera (grasshoppers, etc).Rhaphidophoridae (camel crickets)",30,basement,Orthoptera,"grasshoppers, etc",Rhaphidophoridae,camel crickets
house.basement.Polydesmida (flat-backed millipedes),,basement,Polydesmida,flat-backed millipedes,,
house.basement.Polydesmida (flat-backed millipedes).Paradoxosomatidae (millipedes),26,basement,Polydesmida,flat-backed millipedes,Paradoxosomatidae,millipedes
house.basement.Polydesmida (flat-backed millipedes).Polydesmidae (flat-backed millipedes),9,basement,Polydesmida,flat-backed millipedes,Polydesmidae,flat-backed millipedes
house.basement.Polydesmida (flat-backed millipedes).Un ID family,5,basement,Polydesmida,flat-backed millipedes,Un ID family,
house.basement.Polydesmida (flat-backed millipedes).Xystodesmidae (millipedes),3,basement,Polydesmida,flat-backed millipedes,Xystodesmidae,millipedes
house.basement.Pseudoscorpiones (pseudoscorpions),,basement,Pseudoscorpiones,pseudoscorpions,,
house.basement.Pseudoscorpiones (pseudoscorpions).Chthoniidae (pseudoscorpions),1,basement,Pseudoscorpiones,pseudoscorpions,Chthoniidae,pseudoscorpions
house.basement.Pseudoscorpiones (pseudoscorpions).Un ID family,1,basement,Pseudoscorpiones,pseudoscorpions,Un ID family,
"house.basement.Psocodea (barklice, booklice, parasitic lice)",,basement,Psocodea,"barklice, booklice, parasitic lice",,
"house.basement.Psocodea (barklice, booklice, parasitic lice).Liposcelididae (booklice)",10,basement,Psocodea,"barklice, booklice, parasitic lice",Liposcelididae,booklice
"house.basement.Psocodea (barklice, booklice, parasitic lice).Psyllipsocidae (cave barklice)",1,basement,Psocodea,"barklice, booklice, parasitic lice",Psyllipsocidae,cave barklice
"house.basement.Psocodea (barklice, booklice, parasitic lice).Un ID family",6,basement,Psocodea,"barklice, booklice, parasitic lice",Un ID family,
house.basement.Scolopendromorpha (tropical centipedes),,basement,Scolopendromorpha,tropical centipedes,,
house.basement.Scolopendromorpha (tropical centipedes).Scolopendridae (tropical centipedes),3,basement,Scolopendromorpha,tropical centipedes,Scolopendridae,tropical centipedes
house.basement.Scutigeromorpha (house centipedes),,basement,Scutigeromorpha,house centipedes,,
house.basement.Scutigeromorpha (house centipedes).Scutigeridae (house centipedes),8,basement,Scutigeromorpha,house centipedes,Scutigeridae,house centipedes
house.basement.Spirobolida (round-backed millipedes),,basement,Spirobolida,round-backed millipedes,,
house.basement.Spirobolida (round-backed millipedes).Spirobolidae (round-backed millipedes),10,basement,Spirobolida,round-backed millipedes,Spirobolidae,round-backed millipedes
house.basement.Spirostreptida (millipedes),,basement,Spirostreptida,millipedes,,
house.basement.Spirostreptida (millipedes).Cambalidae (millipedes),1,basement,Spirostreptida,millipedes,Cambalidae,millipedes
house.basement.Thysanoptera (thrips),,basement,Thysanoptera,thrips,,
