id,room,order,order_common,family,family_common,value,absent,room_total,order_room_total
"house.attic.Hymenoptera (bees, wasps, ants).Formicidae (ants)",attic,Hymenoptera,"bees, wasps, ants",Formicidae,ants,18,20,38,19
"house.attic.Hymenoptera (bees, wasps, ants).Halictidae (sweat bees)",attic,Hymenoptera,"bees, wasps, ants",Halictidae,sweat bees,1,37,38,19
"house.attic.Hymenoptera (bees, wasps, ants).Ichneumonidae (scorpion wasps)",attic,Hymenoptera,"bees, wasps, ants",Ichneumonidae,scorpion wasps,1,37,38,19
"house.attic.Hymenoptera (bees, wasps, ants).Megachilidae (leaf cutter & mason bees)",attic,Hymenoptera,"bees, wasps, ants",Megachilidae,leaf cutter & mason bees,1,37,38,19
"house.attic.Hymenoptera (bees, wasps, ants).Pompilidae (spider wasps)",attic,Hymenoptera,"bees, wasps, ants",Pompilidae,spider wasps,1,37,38,19
"house.attic.Hymenoptera (bees, wasps, ants).Sphecidae (thread-waisted wasps)",attic,Hymenoptera,"bees, wasps, ants",Sphecidae,thread-waisted wasps,1,37,38,19
"house.attic.Hymenoptera (bees, wasps, ants).Tiphiidae (tiphiid wasps)",attic,Hymenoptera,"bees, wasps, ants",Tiphiidae,tiphiid wasps,1,37,38,19
"house.attic.Hymenoptera (bees, wasps, ants).Un ID family",attic,Hymenoptera,"bees, wasps, ants",Un ID family,,1,37,38,19
"house.attic.Hymenoptera (bees, wasps, ants).Vespidae (yellowjackets, etc)",attic,Hymenoptera,"bees, wasps, ants",Vespidae,"yellowjackets, etc",2,36,38,19
"house.attic.Isopoda (woodlice, pillbugs, roly-poly's).Armadillidiidae (pillbugs)",attic,Isopoda,"woodlice, pillbugs, roly-poly's",Armadillidiidae,pillbugs,2,36,38,2
house.attic.No specimens.No specimens,attic,No specimens,,No specimens,,6,32,38,6
house.attic.Opiliones (harvestmen).Un ID family,attic,Opiliones,harvestmen,Un ID family,,1,37,38,1
"house.attic.Orthoptera (grasshoppers, etc).Mogoplistidae (scaly crickets)",attic,Orthoptera,"grasshoppers, etc",Mogoplistidae,scaly crickets,1,37,38,1
house.attic.Polydesmida (flat-backed millipedes).Paradoxosomatidae (millipedes),attic,Polydesmida,flat-backed millipedes,Paradoxosomatidae,millipedes,1,37,38,2
house.attic.Polydesmida (flat-backed millipedes).Un ID family,attic,Polydesmida,flat-backed millipedes,Un ID family,,1,37,38,2
"house.attic.Psocodea (barklice, booklice, parasitic lice).Lepidopsocidae (scaly winged barklice)",attic,Psocodea,"barklice, booklice, parasitic lice",Lepidopsocidae,scaly winged barklice,1,37,38,14
"house.attic.Psocodea (barklice, booklice, parasitic lice).Liposcelididae (booklice)",attic,Psocodea,"barklice, booklice, parasitic lice",Liposcelididae,booklice,13,25,38,14
"house.attic.Psocodea (barklice, booklice, parasitic lice).Stenopsocidae (narrow barklice)",attic,Psocodea,"barklice, booklice, parasitic lice",Stenopsocidae,narrow barklice,1,37,38,14
"house.attic.Psocodea (barklice, booklice, parasitic lice).Un ID family",attic,Psocodea,"barklice, booklice, parasitic lice",Un ID family,,2,36,38,14
house.attic.Thysanoptera (thrips).Thripidae (thrips),attic,Thysanoptera,thrips,Thripidae,thrips,1,37,38,1
house.attic.Un ID order.Un ID family,attic,Un ID order,,Un ID family,,1,37,38,1
house.attic.Zygentoma (silverfish).Lepismatidae (silverfish),attic,Zygentoma,silverfish,Lepismatidae,silverfish,8,30,38,8
"house.basement.Acari (mites, ticks).Galumnidae (mites)",basement,Acari,"mites, ticks",Galumnidae,mites,1,53,54,25
"house.basement.Acari (mites, ticks).Oribatida (moss mites)",basement,Acari,"mites, ticks",Oribatida,moss mites,12,42,54,25
"house.basement.Acari (mites, ticks).Tetranychidae (spider mites)",basement,Acari,"mites, ticks",Tetranychidae,spider mites,1,53,54,25
"house.basement.Acari (mites, ticks).Un ID family",basement,Acari,"mites, ticks",Un ID family,,16,38,54,25
house.basement.Araneae (spiders).Agelenidae (funnel weavers),basement,Araneae,spiders,Agelenidae,funnel weavers,11,43,54,50
house.basement.Araneae (spiders).Anyphaenidae (ghost spiders),basement,Araneae,spiders,Anyphaenidae,ghost spiders,1,53,54,50
house.basement.Araneae (spiders).Araneidae (orb weavers),basement,Araneae,spiders,Araneidae,orb weavers,1,53,54,50
"house.basement.Araneae (spiders).Corinnidae (antmimics, ground spiders)",basement,Araneae,spiders,Corinnidae,"antmimics, ground spiders",5,49,54,50
"house.basement.Araneae (spiders).Dysderidae (woodlouse hunters, cell spiders)",basement,Araneae,spiders,Dysderidae,"woodlouse hunters, cell spiders",2,52,54,50
house.basement.Araneae (spiders).Gnaphosidae (ground spiders),basement,Araneae,spiders,Gnaphosidae,ground spiders,3,51,54,50
house.basement.Araneae (spiders).Linyphiidae (sheetweb & dwarf spiders),basement,Araneae,spiders,Linyphiidae,sheetweb & dwarf spiders,2,52,54,50
house.basement.Araneae (spiders).Lycosidae (wolf spiders),basement,Araneae,spiders,Lycosidae,wolf spiders,3,51,54,50
house.basement.Araneae (spiders).Mimetidae (pirate spiders),basement,Araneae,spiders,Mimetidae,pirate spiders,1,53,54,50
house.basement.Araneae (spiders).Miturgidae (prowling spiders),basement,Araneae,spiders,Miturgidae,prowling spiders,1,53,54,50
house.basement.Araneae (spiders).Pholcidae (cellar spiders),basement,Araneae,spiders,Pholcidae,cellar spiders,21,33,54,50
house.basement.Araneae (spiders).Pisauridae (nursery web spider),basement,Araneae,spiders,Pisauridae,nursery web spider,2,52,54,50
house.basement.Araneae (spiders).Salticidae (jumping spider),basement,Araneae,spiders,Salticidae,jumping spider,2,52,54,50
house.basement.Araneae (spiders).Scytodidae (spitting spider),basement,Araneae,spiders,Scytodidae,spitting spider,1,53,54,50
house.basement.Araneae (spiders).Segestriidae (tube web spiders),basement,Araneae,spiders,Segestriidae,tube web spiders,2,52,54,50
house.basement.Araneae (spiders).Theridiidae (cobweb spiders),basement,Araneae,spiders,Theridiidae,cobweb spiders,42,12,54,50
house.basement.Araneae (spiders).Thomisidae (crab spiders),basement,Araneae,spiders,Thomisidae,crab spiders,1,53,54,50
house.basement.Araneae (spiders).Uloboridae (cribellate orb weavers),basement,Araneae,spiders,Uloboridae,cribellate orb weavers,1,53,54,50
house.basement.Araneae (spiders).Un ID family,basement,Araneae,spiders,Un ID family,,10,44,54,50
house.basement.Blattodea (cockroaches).Blattellidae (cockroaches),basement,Blattodea,cockroaches,Blattellidae,cockroaches,3,51,54,18
house.basement.Blattodea (cockroaches).Blattidae (cockroaches),basement,Blattodea,cockroaches,Blattidae,cockroaches,18,36,54,18
house.basement.Blattodea (cockroaches).Un ID family,basement,Blattodea,cockroaches,Un ID family,,1,53,54,18
house.basement.Callipodida (crested millipedes).Abacionidae (millipedes),basement,Callipodida,crested millipedes,Abacionidae,millipedes,3,51,54,3
house.basement.Coleoptera (beetles).Anobiidae (death watch beetles),basement,Coleoptera,beetles,Anobiidae,death watch beetles,4,50,54,35
house.basement.Coleoptera (beetles).Cantharidae (soldier beetles),basement,Coleoptera,beetles,Cantharidae,soldier beetles,1,53,54,35
house.basement.Coleoptera (beetles).Carabidae (ground beetles),basement,Coleoptera,beetles,Carabidae,ground beetles,18,36,54,35
house.basement.Coleoptera (beetles).Coccinellidae (ladybugs),basement,Coleoptera,beetles,Coccinellidae,ladybugs,1,53,54,35
house.basement.Coleoptera (beetles).Curculionidae (snout & bark beetles),basement,Coleoptera,beetles,Curculionidae,snout & bark beetles,10,44,54,35
house.basement.Coleoptera (beetles).Dermestidae (carpet beetles),basement,Coleoptera,beetles,Dermestidae,carpet beetles,12,42,54,35
house.basement.Coleoptera (beetles).Elateridae (click beetles),basement,Coleoptera,beetles,Elateridae,click beetles,7,47,54,35
house.basement.Coleoptera (beetles).Histeridae (clown beetles),basement,Coleoptera,beetles,Histeridae,clown beetles,1,53,54,35
house.basement.Coleoptera (beetles).Lampyridae (fireflies),basement,Coleoptera,beetles,Lampyridae,fireflies,1,53,54,35
house.basement.Coleoptera (beetles).Latridiidae (minute brown scavenger beetles),basement,Coleoptera,beetles,Latridiidae,minute brown scavenger beetles,1,53,54,35
house.basement.Coleoptera (beetles).Lycidae (net-winged beetles),basement,Coleoptera,beetles,Lycidae,net-winged beetles,1,53,54,35
house.basement.Coleoptera (beetles).Melyridae (soft winged flower beetles),basement,Coleoptera,beetles,Melyridae,soft winged flower beetles,1,53,54,35
house.basement.Coleoptera (beetles).Mordellidae (tumbling flower beetles),basement,Coleoptera,beetles,Mordellidae,tumbling flower beetles,2,52,54,35
house.basement.Coleoptera (beetles).Nitidulidae (sap beetles),basement,Coleoptera,beetles,Nitidulidae,sap beetles,2,52,54,35
house.basement.Coleoptera (beetles).Passalidae (bess beetles),basement,Coleoptera,beetles,Passalidae,bess beetles,1,53,54,35
house.basement.Coleoptera (beetles).Phalacridae (shining flower beetles),basement,Coleoptera,beetles,Phalacridae,shining flower beetles,1,53,54,35
house.basement.Coleoptera (beetles).Ptiliidae (featherwing beetles),basement,Coleoptera,beetles,Ptiliidae,featherwing beetles,1,53,54,35
house.basement.Coleoptera (beetles).Ptilodactylidae (toe winged beetles),basement,Coleoptera,beetles,Ptilodactylidae,toe winged beetles,2,52,54,35
house.basement.Coleoptera (beetles).Scarabaeidae (scarab beetles),basement,Coleoptera,beetles,Scarabaeidae,scarab beetles,7,47,54,35
house.basement.Coleoptera (beetles).Silvanidae (flat bark beetles),basement,Coleoptera,beetles,Silvanidae,flat bark beetles,5,49,54,35
house.basement.Coleoptera (beetles).Staphylinidae (rove beetles),basement,Coleoptera,beetles,Staphylinidae,rove beetles,4,50,54,35
house.basement.Coleoptera (beetles).Tenebrionidae (darkling beetles),basement,Coleoptera,beetles,Tenebrionidae,darkling beetles,9,45,54,35
house.basement.Coleoptera (beetles).Throscidae (false metallic wood boring beetles),basement,Coleoptera,beetles,Throscidae,false metallic wood boring beetles,1,53,54,35
house.basement.Coleoptera (beetles).Un ID family,basement,Coleoptera,beetles,Un ID family,,4,50,54,35
house.basement.Collembola (springtails).Entomobryidae (slender springtails),basement,Collembola,springtails,Entomobryidae,slender springtails,11,43,54,14
house.basement.Collembola (springtails).Isotomidae (elongate springtails),basement,Collembola,springtails,Isotomidae,elongate springtails,2,52,54,14
house.basement.Collembola (springtails).Sminthuridae (globular springtails),basement,Collembola,springtails,Sminthuridae,globular springtails,1,53,54,14
house.basement.Collembola (springtails).Tomoceridae (elongate bodied springtails),basement,Collembola,springtails,Tomoceridae,elongate bodied springtails,1,53,54,14
house.basement.Collembola (springtails).Un ID family,basement,Collembola,springtails,Un ID family,,2,52,54,14
house.basement.Dermaptera (earwigs).Anisolabididae (earwigs),basement,Dermaptera,earwigs,Anisolabididae,earwigs,5,49,54,9
house.basement.Dermaptera (earwigs).Forficulidae (earwigs),basement,Dermaptera,earwigs,Forficulidae,earwigs,4,50,54,9
house.basement.Diplopoda (millipedes).Un ID family,basement,Diplopoda,millipedes,Un ID family,,1,53,54,1
house.basement.Diptera (flies).Calliphoridae (blow flies),basement,Diptera,flies,Calliphoridae,blow flies,3,51,54,27
house.basement.Diptera (flies).Cecidomyiidae (gall midges),basement,Diptera,flies,Cecidomyiidae,gall midges,9,45,54,27
house.basement.Diptera (flies).Chironomidae (non biting midges),basement,Diptera,flies,Chironomidae,non biting midges,2,52,54,27
house.basement.Diptera (flies).Culicidae (mosquitoes),basement,Diptera,flies,Culicidae,mosquitoes,3,51,54,27
house.basement.Diptera (flies).Dolichopodidae (longlegged flies),basement,Diptera,flies,Dolichopodidae,longlegged flies,2,52,54,27
"house.basement.Diptera (flies).Drosophilidae (fruit flies, vinegar flies)",basement,Diptera,flies,Drosophilidae,"fruit flies, vinegar flies",3,51,54,27
house.basement.Diptera (flies).Empididae (dance flies),basement,Diptera,flies,Empididae,dance flies,1,53,54,27
house.basement.Diptera (flies).Fanniidae (Calyptrate flies),basement,Diptera,flies,Fanniidae,Calyptrate flies,1,53,54,27
house.basement.Diptera (flies).Muscidae (house flies),basement,Diptera,flies,Muscidae,house flies,3,51,54,27
house.basement.Diptera (flies).Mycetophilidae (fungus gnats),basement,Diptera,flies,Mycetophilidae,fungus gnats,5,49,54,27
house.basement.Diptera (flies).Phoridae (scuttle flies),basement,Diptera,flies,Phoridae,scuttle flies,11,43,54,27
house.basement.Diptera (flies).Psychodidae (sand & moth flies),basement,Diptera,flies,Psychodidae,sand & moth flies,5,49,54,27
house.basement.Diptera (flies).Scatopsidae (minute black scavenger flies),basement,Diptera,flies,Scatopsidae,minute black scavenger flies,1,53,54,27
house.basement.Diptera (flies).Sciaridae (dark winged fungus gnats),basement,Diptera,flies,Sciaridae,dark winged fungus gnats,12,42,54,27
house.basement.Diptera (flies).Sphaeroceridae (lesser dung flies),basement,Diptera,flies,Sphaeroceridae,lesser dung flies,6,48,54,27
house.basement.Diptera (flies).Stratiomyidae (soldier flies),basement,Diptera,flies,Stratiomyidae,soldier flies,1,53,54,27
house.basement.Diptera (flies).Tipulidae (large crane flies),basement,Diptera,flies,Tipulidae,large crane flies,4,50,54,27
house.basement.Diptera (flies).Trichoceridae (winter crane flies),basement,Diptera,flies,Trichoceridae,winter crane flies,1,53,54,27
house.basement.Diptera (flies).Un ID family,basement,Diptera,flies,Un ID family,,5,49,54,27
house.basement.Hemiptera (true bugs).Aphididae (aphids),basement,Hemiptera,true bugs,Aphididae,aphids,4,50,54,15
house.basement.Hemiptera (true bugs).Aradidae (flat bugs),basement,Hemiptera,true bugs,Aradidae,flat bugs,1,53,54,15
house.basement.Hemiptera (true bugs).Cicadellidae (leafhoppers),basement,Hemiptera,true bugs,Cicadellidae,leafhoppers,3,51,54,15
house.basement.Hemiptera (true bugs).Cydnidae (burrowing bugs),basement,Hemiptera,true bugs,Cydnidae,burrowing bugs,2,52,54,15
house.basement.Hemiptera (true bugs).Delphacidae (Delphacid planthoppers),basement,Hemiptera,true bugs,Delphacidae,Delphacid planthoppers,1,53,54,15
house.basement.Hemiptera (true bugs).Derbidae (derbid planthopppers),basement,Hemiptera,true bugs,Derbidae,derbid planthopppers,1,53,54,15
house.basement.Hemiptera (true bugs).Fulgoridae (fulgorid planthoppers),basement,Hemiptera,true bugs,Fulgoridae,fulgorid planthoppers,1,53,54,15
house.basement.Hemiptera (true bugs).Phylloxeridae (plant parasitic hemipterans),basement,Hemiptera,true bugs,Phylloxeridae,plant parasitic hemipterans,1,53,54,15
house.basement.Hemiptera (true bugs).Reduviidae (assassin bugs),basement,Hemiptera,true bugs,Reduviidae,assassin bugs,2,52,54,15
house.basement.Hemiptera (true bugs).Rhyparochromidae (dirt colored seed bugs),basement,Hemiptera,true bugs,Rhyparochromidae,dirt colored seed bugs,2,52,54,15
house.basement.Hemiptera (true bugs).Tingidae (lace bugs),basement,Hemiptera,true bugs,Tingidae,lace bugs,1,53,54,15
house.basement.Hemiptera (true bugs).Un ID family,basement,Hemiptera,true bugs,Un ID family,,1,53,54,15
"house.basement.Hymenoptera (bees, wasps, ants).Bethylidae (cuckoo wasps)",basement,Hymenoptera,"bees, wasps, ants",Bethylidae,cuckoo wasps,1,53,54,35
"house.basement.Hymenoptera (bees, wasps, ants).Ceraphronidae (parasitic wasps)",basement,Hymenoptera,"bees, wasps, ants",Ceraphronidae,parasitic wasps,1,53,54,35
"house.basement.Hymenoptera (bees, wasps, ants).Diapriidae (parasitic wasps)",basement,Hymenoptera,"bees, wasps, ants",Diapriidae,parasitic wasps,3,51,54,35
"house.basement.Hymenoptera (bees, wasps, ants).Eulophidae (chalcid wasps)",basement,Hymenoptera,"bees, wasps, ants",Eulophidae,chalcid wasps,4,50,54,35
"house.basement.Hymenoptera (bees, wasps, ants).Formicidae (ants)",basement,Hymenoptera,"bees, wasps, ants",Formicidae,ants,31,23,54,35
"house.basement.Hymenoptera (bees, wasps, ants).Halictidae (sweat bees)",basement,Hymenoptera,"bees, wasps, ants",Halictidae,sweat bees,1,53,54,35
"house.basement.Hymenoptera (bees, wasps, ants).Ichneumonidae (scorpion wasps)",basement,Hymenoptera,"bees, wasps, ants",Ichneumonidae,scorpion wasps,3,51,54,35
"house.basement.Hymenoptera (bees, wasps, ants).Pompilidae (spider wasps)",basement,Hymenoptera,"bees, wasps, ants",Pompilidae,spider wasps,4,50,54,35
"house.basement.Hymenoptera (bees, wasps, ants).Rhopalosomatidae (Rhopalosomatid wasps)",basement,Hymenoptera,"bees, wasps, ants",Rhopalosomatidae,Rhopalosomatid wasps,1,53,54,35
"house.basement.Hymenoptera (bees, wasps, ants).Sphecidae (thread-waisted wasps)",basement,Hymenoptera,"bees, wasps, ants",Sphecidae,thread-waisted wasps,1,53,54,35
"house.basement.Hymenoptera (bees, wasps, ants).Un ID family",basement,Hymenoptera,"bees, wasps, ants",Un ID family,,2,52,54,35
"house.basement.Hymenoptera (bees, wasps, ants).Vespidae (yellowjackets, etc)",basement,Hymenoptera,"bees, wasps, ants",Vespidae,"yellowjackets, etc",1,53,54,35
"house.basement.Isopoda (woodlice, pillbugs, roly-poly's).Armadillidiidae (pillbugs)",basement,Isopoda,"woodlice, pillbugs, roly-poly's",Armadillidiidae,pillbugs,26,28,54,31
"house.basement.Isopoda (woodlice, pillbugs, roly-poly's).Oniscidae (woodlice)",basement,Isopoda,"woodlice, pillbugs, roly-poly's",Oniscidae,woodlice,2,52,54,31
"house.basement.Isopoda (woodlice, pillbugs, roly-poly's).Porcellionidae (woodlice)",basement,Isopoda,"woodlice, pillbugs, roly-poly's",Porcellionidae,woodlice,8,46,54,31
"house.basement.Isopoda (woodlice, pillbugs, roly-poly's).Un ID family",basement,Isopoda,"woodlice, pillbugs, roly-poly's",Un ID family,,8,46,54,31
house.basement.Isoptera (termites).Rhinotermitidae (subterranean termites),basement,Isoptera,termites,Rhinotermitidae,subterranean termites,2,52,54,2
house.basement.Julida (millipedes).Julidae (millipedes),basement,Julida,millipedes,Julidae,millipedes,6,48,54,10
house.basement.Julida (millipedes).Parajulidae (millipedes),basement,Julida,millipedes,Parajulidae,millipedes,2,52,54,10
house.basement.Julida (millipedes).Un ID family,basement,Julida,millipedes,Un ID family,,2,52,54,10
"house.basement.Lepidoptera (moths, butterflies).Geometridae (geometrid moths)",basement,Lepidoptera,"moths, butterflies",Geometridae,geometrid moths,1,53,54,9
"house.basement.Lepidoptera (moths, butterflies).Noctuidae (owlet moths)",basement,Lepidoptera,"moths, butterflies",Noctuidae,owlet moths,2,52,54,9
"house.basement.Lepidoptera (moths, butterflies).Pyralidae (pyralid moths)",basement,Lepidoptera,"moths, butterflies",Pyralidae,pyralid moths,2,52,54,9
"house.basement.Lepidoptera (moths, butterflies).Un ID family",basement,Lepidoptera,"moths, butterflies",Un ID family,,5,49,54,9
house.basement.Lithobiomorpha (stone centipedes).Lithobiidae (stone centipedes),basement,Lithobiomorpha,stone centipedes,Lithobiidae,stone centipedes,1,53,54,1
house.basement.Microcoryphia (bristletails).Machilidae (jumping bristletails),basement,Microcoryphia,bristletails,Machilidae,jumping bristletails,1,53,54,1
house.basement.Neuroptera (lacewings).Berothidae (beaded lacewings),basement,Neuroptera,lacewings,Berothidae,beaded lacewings,1,53,54,2
house.basement.Neuroptera (lacewings).Chrysopidae (green lacewings),basement,Neuroptera,lacewings,Chrysopidae,green lacewings,1,53,54,2
house.basement.Opiliones (harvestmen).Phalangiidae (harvestmen),basement,Opiliones,harvestmen,Phalangiidae,harvestmen,1,53,54,2
house.basement.Opiliones (harvestmen).Un ID family,basement,Opiliones,harvestmen,Un ID family,,1,53,54,2
"house.basement.Orthoptera (grasshoppers, etc).Gryllidae (crickets)",basement,Orthoptera,"grasshoppers, etc",Gryllidae,crickets,3,51,54,29
"house.basement.Orthoptera (grasshoppers, etc).Rhaphidophoridae (camel crickets)",basement,Orthoptera,"grasshoppers, etc",Rhaphidophoridae,camel crickets,27,27,54,29
house.basement.Polydesmida (flat-backed millipedes).Paradoxosomatidae (millipedes),basement,Polydesmida,flat-backed millipedes,Paradoxosomatidae,millipedes,23,31,54,31
house.basement.Polydesmida (flat-backed millipedes).Polydesmidae (flat-backed millipedes),basement,Polydesmida,flat-backed millipedes,Polydesmidae,flat-backed millipedes,9,45,54,31
house.basement.Polydesmida (flat-backed millipedes).Un ID family,basement,Polydesmida,flat-backed millipedes,Un ID family,,5,49,54,31
house.basement.Polydesmida (flat-backed millipedes).Xystodesmidae (millipedes),basement,Polydesmida,flat-backed millipedes,Xystodesmidae,millipedes,3,51,54,31
house.basement.Pseudoscorpiones (pseudoscorpions).Chthoniidae (pseudoscorpions),basement,Pseudoscorpiones,pseudoscorpions,Chthoniidae,pseudoscorpions,1,53,54,2
house.basement.Pseudoscorpiones (pseudoscorpions).Un ID family,basement,Pseudoscorpiones,pseudoscorpions,Un ID family,,1,53,54,2
"house.basement.Psocodea (barklice, booklice, parasitic lice).Liposcelididae (booklice)",basement,Psocodea,"barklice, booklice, parasitic lice",Liposcelididae,booklice,9,45,54,13
"house.basement.Psocodea (barklice, booklice, parasitic lice).Psyllipsocidae (cave barklice)",basement,Psocodea,"barklice, booklice, parasitic lice",Psyllipsocidae,cave barklice,1,53,54,13
"house.basement.Psocodea (barklice, booklice, parasitic lice).Un ID family",basement,Psocodea,"barklice, booklice, parasitic lice",Un ID family,,5,49,54,13
house.basement.Scolopendromorpha (tropical centipedes).Scolopendridae (tropical centipedes),basement,Scolopendromorpha,tropical centipedes,Scolopendridae,tropical centipedes,3,51,54,3
house.basement.Scutigeromorpha (house centipedes).Scutigeridae (house centipedes),basement,Scutigeromorpha,house centipedes,Scutigeridae,house centipedes,7,47,54,7
house.basement.Spirobolida (round-backed millipedes).Spirobolidae (round-backed millipedes),basement,Spirobolida,round-backed millipedes,Spirobolidae,round-backed millipedes,8,46,54,8
house.basement.Spirostreptida (millipedes).Cambalidae (millipedes),basement,Spirostreptida,millipedes,Cambalidae,millipedes,1,53,54,1
house.basement.Thysanoptera (thrips).Phlaeothripidae (tube tailed thrips),basement,Thysanoptera,thrips,Phlaeothripidae,tube tailed thrips,1,53,54,3
house.basement.Thysanoptera (thrips).Un ID family,basement,Thysanoptera,thrips,Un ID family,,2,52,54,3
house.basement.Zygentoma (silverfish).Lepismatidae (silverfish),basement,Zygentoma,silverfish,Lepismatidae,silverfish,2,52,54,2
"house.bath.Acari (mites, ticks).Ixodidae (hard ticks)",bath,Acari,"mites, ticks",Ixodidae,hard ticks,1,145,146,7
"house.bath.Acari (mites, ticks).Oribatida (moss mites)",bath,Acari,"mites, ticks",Oribatida,moss mites,2,144,146,7
"house.bath.Acari (mites, ticks).Un ID family",bath,Acari,"mites, ticks",Un ID family,,4,142,146,7
house.bath.Araneae (spiders).Agelenidae (funnel weavers),bath,Araneae,spiders,Agelenidae,funnel weavers,3,143,146,100
house.bath.Araneae (spiders).Anyphaenidae (ghost spiders),bath,Araneae,spiders,Anyphaenidae,ghost spiders,1,145,146,100
house.bath.Araneae (spiders).Araneidae (orb weavers),bath,Araneae,spiders,Araneidae,orb weavers,2,144,146,100
